algorithm,inputType,n,seed,timeSeconds,sorted
quick,random,1000,101,0.000353999,1
merge,random,1000,101,0.000434181,1
quick,random,1000,102,0.000337568,1
merge,random,1000,102,0.000558065,1
quick,random,1000,103,0.000343910,1
merge,random,1000,103,0.000472293,1
quick,random,1000,104,0.000348198,1
merge,random,1000,104,0.000848835,1
quick,random,1000,105,0.000413992,1
merge,random,1000,105,0.000426897,1
quick,random,2000,101,0.000802056,1
merge,random,2000,101,0.000982237,1
quick,random,2000,102,0.000789743,1
merge,random,2000,102,0.001015039,1
quick,random,2000,103,0.000753605,1
merge,random,2000,103,0.000947220,1
quick,random,2000,104,0.000786987,1
merge,random,2000,104,0.000943133,1
quick,random,2000,105,0.000778171,1
merge,random,2000,105,0.001243431,1
quick,random,5000,101,0.002114416,1
merge,random,5000,101,0.002536865,1
quick,random,5000,102,0.002270742,1
merge,random,5000,102,0.002613310,1
quick,random,5000,103,0.002154743,1
merge,random,5000,103,0.002555891,1
quick,random,5000,104,0.002290199,1
merge,random,5000,104,0.002581750,1
quick,random,5000,105,0.002095461,1
merge,random,5000,105,0.002526766,1
quick,random,10000,101,0.004517720,1
merge,random,10000,101,0.005637837,1
quick,random,10000,102,0.004466734,1
merge,random,10000,102,0.005407461,1
quick,random,10000,103,0.004696928,1
merge,random,10000,103,0.005558136,1
quick,random,10000,104,0.004609733,1
merge,random,10000,104,0.005466353,1
quick,random,10000,105,0.004847603,1
merge,random,10000,105,0.005721846,1
quick,random,20000,101,0.009435145,1
merge,random,20000,101,0.011905625,1
quick,random,20000,102,0.009699555,1
merge,random,20000,102,0.011736996,1
quick,random,20000,103,0.009305189,1
merge,random,20000,103,0.012084643,1
quick,random,20000,104,0.010187617,1
merge,random,20000,104,0.012527039,1
quick,random,20000,105,0.009455213,1
merge,random,20000,105,0.011771551,1
quick,random,50000,101,0.027548523,1
merge,random,50000,101,0.032755666,1
quick,random,50000,102,0.024674651,1
merge,random,50000,102,0.034280157,1
quick,random,50000,103,0.026116657,1
merge,random,50000,103,0.032331113,1
quick,random,50000,104,0.028904656,1
merge,random,50000,104,0.032196038,1
quick,random,50000,105,0.026024893,1
merge,random,50000,105,0.032914537,1
quick,random,100000,101,0.053980656,1
merge,random,100000,101,0.068174717,1
quick,random,100000,102,0.054469871,1
merge,random,100000,102,0.068445378,1
quick,random,100000,103,0.055849137,1
merge,random,100000,103,0.070121916,1
quick,random,100000,104,0.055226400,1
merge,random,100000,104,0.071619887,1
quick,random,100000,105,0.054841372,1
merge,random,100000,105,0.067590781,1
quick,sorted,1000,101,0.002780125,1
merge,sorted,1000,101,0.000129896,1
quick,sorted,1000,102,0.002912245,1
merge,sorted,1000,102,0.000123163,1
quick,sorted,1000,103,0.003431145,1
merge,sorted,1000,103,0.000123032,1
quick,sorted,1000,104,0.002878371,1
merge,sorted,1000,104,0.000123383,1
quick,sorted,1000,105,0.003131890,1
merge,sorted,1000,105,0.000124936,1
quick,sorted,2000,101,0.011694775,1
merge,sorted,2000,101,0.000250514,1
quick,sorted,2000,102,0.011055567,1
merge,sorted,2000,102,0.000382072,1
quick,sorted,2000,103,0.011183609,1
merge,sorted,2000,103,0.000311740,1
quick,sorted,2000,104,0.011545203,1
merge,sorted,2000,104,0.000250734,1
quick,sorted,2000,105,0.011271185,1
merge,sorted,2000,105,0.000250694,1
quick,sorted,5000,101,0.067435688,1
merge,sorted,5000,101,0.000690054,1
quick,sorted,5000,102,0.067405480,1
merge,sorted,5000,102,0.000691327,1
quick,sorted,5000,103,0.068654191,1
merge,sorted,5000,103,0.000710623,1
quick,sorted,5000,104,0.067725185,1
merge,sorted,5000,104,0.000678072,1
quick,sorted,5000,105,0.068156679,1
merge,sorted,5000,105,0.000700184,1
quick,sorted,10000,101,0.266919438,1
merge,sorted,10000,101,0.001504314,1
quick,sorted,10000,102,0.262291070,1
merge,sorted,10000,102,0.001499945,1
quick,sorted,10000,103,0.273826044,1
merge,sorted,10000,103,0.001637526,1
quick,sorted,10000,104,0.263110394,1
merge,sorted,10000,104,0.001478505,1
quick,sorted,10000,105,0.262190183,1
merge,sorted,10000,105,0.001580738,1
quick,sorted,20000,101,1.045332602,1
merge,sorted,20000,101,0.003054633,1
quick,sorted,20000,102,1.047088806,1
